0.177979,1.007080,0.550781,52.152672,-1.038168,-123.236641
0.198730,0.977539,0.533203,56.396946,0.549618,-111.236641
0.201904,0.966797,0.524902,59.206108,1.114504,-100.656487
0.210693,0.935059,0.507568,60.015266,1.755725,-95.022903
0.243164,0.940186,0.491211,60.045803,3.206107,-89.038170
0.262207,0.951904,0.478271,59.068703,5.343512,-85.083969
0.245605,0.962646,0.458740,57.312977,6.534351,-82.809158
0.262451,0.970215,0.452148,56.824429,10.412213,-79.404579
0.306885,0.973145,0.448242,57.419846,16.671755,-75.022903
0.269287,0.952148,0.472656,56.427483,26.152672,-72.824425
0.151367,0.918701,0.549072,57.236641,48.519085,-57.496181
-0.105225,0.882568,0.502686,70.000000,62.854961,-24.259542
-0.308838,0.814453,0.529541,87.282440,50.213741,-6.748092
-0.284424,0.785645,0.574219,99.587784,32.916031,-11.923664
-0.246094,0.803223,0.576660,106.106873,17.603054,-25.251909
-0.267090,0.886963,0.576660,106.503815,6.503817,-45.297710
-0.271729,1.013428,0.501465,95.297707,0.519084,-60.061069
-0.074219,1.176270,0.505615,83.175575,-9.312977,-56.000000
0.061035,1.275879,0.564697,70.702293,-17.129770,-48.427483
0.045654,1.164551,0.479492,59.374046,-22.122137,-51.755726
0.128662,1.091553,0.382080,49.389313,-24.305344,-58.244274
0.297119,1.078125,0.312256,39.022900,-19.801527,-65.297707
0.454590,1.122070,0.334961,30.671755,-9.557252,-74.229004
0.388428,1.040527,0.255859,27.923664,-3.740458,-81.328247
0.364746,1.040039,0.245117,25.160305,2.534351,-86.198471
0.307373,1.070557,0.275146,22.274809,6.488550,-90.656487
0.182861,1.091797,0.343018,19.221375,7.435114,-96.381676
0.095215,1.082031,0.400391,17.923664,5.114504,-100.992363
0.030518,1.066162,0.421875,18.381680,0.458015,-101.190842
-0.003906,1.036865,0.415283,20.167938,-4.885496,-97.862595
-0.020752,0.986084,0.418213,21.725191,-12.366412,-93.496185
-0.028809,0.987793,0.431152,22.992367,-20.137405,-88.580154
-0.019775,0.976562,0.419922,22.152672,-27.801527,-83.725189
0.019775,0.977295,0.411865,20.259542,-33.206108,-77.679390
0.042725,0.975830,0.399170,18.809160,-36.412212,-72.412216
0.050537,0.958984,0.386230,19.450382,-38.885498,-69.053436
0.076416,0.932129,0.380615,22.259542,-39.725189,-66.259544
0.121582,0.970215,0.361816,24.717558,-38.870228,-62.885498
0.130371,1.011719,0.379883,26.351145,-37.160305,-59.816795
0.217529,0.982666,0.441162,28.854961,-32.503819,-57.236641
0.265381,1.035400,0.374512,29.083969,-25.404581,-51.938931
0.306396,1.041260,0.350586,28.412214,-16.793894,-46.793892
0.247314,1.053711,0.294434,26.732824,-10.916031,-43.694656
0.194092,1.063477,0.304932,23.129770,-7.328244,-42.122139
0.102051,1.048096,0.336182,19.893129,-7.022901,-40.580154
0.045410,1.029785,0.355225,17.343512,-9.038168,-37.633587
0.013672,1.016113,0.363770,16.305344,-12.916031,-33.419846
0.021484,0.998047,0.371338,16.625954,-16.793894,-28.534351
0.054688,0.973633,0.387939,18.763359,-19.725191,-25.465649
0.070068,0.932373,0.380371,21.908398,-20.656488,-24.702290
0.111816,0.902100,0.395264,25.511450,-20.213741,-25.847328
0.136963,0.858887,0.375977,29.832062,-19.160305,-29.496183
0.132080,0.825439,0.372314,35.450382,-18.030535,-34.549618
0.131348,0.782959,0.356689,41.480915,-16.442749,-40.366413
0.159424,0.793213,0.367920,47.832062,-14.000000,-44.717556
0.144043,0.851074,0.353760,52.610687,-11.664123,-47.801525
0.129395,0.918945,0.363525,55.786259,-10.167939,-49.725189
0.127686,0.971680,0.359619,57.038166,-9.312977,-51.374046
0.120850,1.006348,0.332764,57.328243,-8.259542,-51.755726
0.114502,1.008057,0.330811,57.114502,-7.847328,-52.290077
0.123291,1.010986,0.292236,56.671757,-6.213740,-51.801525
0.120361,1.020752,0.273682,55.007633,-4.854962,-51.541985
0.096680,1.023193,0.270264,52.167938,-4.167939,-49.572517
0.070557,1.036133,0.265381,48.290077,-4.198473,-46.458015
0.071045,1.047119,0.268311,42.992367,-4.122138,-43.419846
0.059326,1.052490,0.262207,36.946564,-4.152672,-38.854961
0.066650,1.062988,0.262451,30.381680,-3.862595,-35.206108
0.062988,1.057129,0.260010,24.061069,-3.282443,-30.946566
0.069824,1.061768,0.255371,17.603054,-2.061069,-27.038168
0.079346,1.062256,0.244873,10.748092,-1.496183,-26.244274
0.096680,1.049072,0.238770,3.923664,-0.793893,-26.793894
0.113525,1.033447,0.231445,-1.847328,0.412214,-28.091602
0.116455,1.000732,0.266846,-4.992366,2.549618,-29.877863
0.113770,0.963379,0.292969,-3.770992,4.549618,-31.526718
0.114990,0.951660,0.295166,-0.534351,5.984733,-33.267174
0.118164,0.926270,0.280029,3.694656,7.083970,-35.969467
0.114258,0.912598,0.270752,9.572519,8.458015,-39.755726
0.128906,0.916504,0.240967,14.625955,9.511451,-42.702290
0.120361,0.947998,0.253174,18.366413,10.732824,-43.938931
0.113525,0.971436,0.262207,20.305344,11.297709,-44.656490
0.096191,0.984375,0.266602,22.671755,11.038168,-45.526718
0.083252,0.977051,0.277344,25.099237,9.694656,-46.671757
0.074707,0.990967,0.274414,26.122137,8.076336,-46.839695
0.055420,1.008545,0.277344,26.473282,5.328244,-45.465649
0.081787,1.011475,0.237793,25.145039,5.312977,-45.465649
0.117432,1.004883,0.253174,24.992367,5.694656,-44.946564
0.115967,1.006104,0.259277,24.396946,6.259542,-44.870228
0.107910,1.015869,0.274170,23.587786,6.580153,-45.694656
0.114746,1.019531,0.263672,22.305344,6.549618,-46.839695
0.118164,1.018066,0.254150,20.687023,6.656488,-47.725189
0.118408,1.018799,0.254150,18.641222,7.648855,-47.923664
0.111084,1.023193,0.248535,16.549618,8.488549,-48.366413
0.107422,1.038818,0.245117,14.122137,9.541985,-48.854961
0.118652,1.051514,0.249268,11.267176,10.900764,-50.076336
0.126953,1.048096,0.227539,8.656488,12.351145,-50.610687
0.125244,1.029297,0.241455,7.175572,13.618320,-51.068703
0.122803,0.981445,0.249512,7.435114,14.564885,-51.801525
0.099854,0.943115,0.255127,9.770992,15.236641,-52.229008
0.089355,0.950684,0.243896,11.725191,15.053435,-51.938931
0.080811,0.956055,0.235352,12.580153,14.809160,-51.206108
0.077881,0.950928,0.235840,13.954199,14.351145,-49.832062
0.078369,0.948730,0.228027,15.740458,14.167939,-48.274811
0.090088,0.952393,0.214844,18.015266,14.351145,-46.396946
0.094971,0.975586,0.217041,19.572519,14.549619,-44.610687
0.081299,0.995361,0.216797,19.786259,14.809160,-43.328243
0.095459,1.020996,0.217773,18.564886,15.206107,-41.816795
0.105713,1.051758,0.218018,16.381680,16.152672,-40.595421
0.110107,1.060791,0.218018,13.740458,17.251909,-39.709923
0.118652,1.058838,0.215820,10.473283,18.198473,-39.786259
0.124512,1.057129,0.224609,7.740458,19.526718,-40.000000
0.131104,1.069336,0.230469,4.198473,21.221375,-40.335876
0.127197,1.076416,0.234131,1.129771,22.229008,-42.091602
0.122070,1.071777,0.203613,-1.954198,22.748091,-42.656490
0.107178,1.055420,0.196777,-4.030534,22.778625,-42.351147
0.101807,1.005127,0.198975,-4.763359,22.442749,-43.389313
0.110596,0.931152,0.198975,-2.992366,22.992367,-44.961834
0.108643,0.893311,0.210205,0.702290,22.778625,-46.977100
0.091797,0.895996,0.231445,5.282443,22.061069,-48.106869
0.079102,0.935303,0.217529,8.198473,20.977098,-48.916031
